,index,PCW,log10PCW,log2PCW,MEblack,MEblue,MEbrown,MEcyan,MEdarkgreen,MEdarkgrey,MEdarkred,MEdarkturquoise,MEgreen,MEgrey60,MElightcyan,MElightgreen,MElightyellow,MEmagenta,MEmidnightblue,MEpink,MEpurple,MEroyalblue,MEsalmon,MEtan,MEturquoise,MEyellow,madMEblack,madMEblue,madMEbrown,madMEcyan,madMEdarkgreen,madMEdarkgrey,madMEdarkred,madMEdarkturquoise,madMEgreen,madMEgrey60,madMElightcyan,madMElightgreen,madMElightyellow,madMEmagenta,madMEmidnightblue,madMEpink,madMEpurple,madMEroyalblue,madMEsalmon,madMEtan,madMEturquoise,madMEyellow
0,median5.7,5.7,0.7558748559999999,2.510961919,0.12605605050000002,0.032726735,0.037161541,0.008238177,-0.0220129375,-0.017889481999999998,-0.004699558,-0.053227653,-0.025287492,-0.09645201,0.0299703645,-0.08534689849999999,-0.14972523100000001,0.02707959,-0.04855559200000001,0.1058905015,-0.038218581,-0.0982190495,0.0940200745,-0.0477338255,-0.0209968215,-0.015024155,0.002840916839506175,0.002549766444444446,0.004563923061728395,0.006034132074074074,0.013281959111111111,0.007318960691358026,0.008596906962962966,0.008061789555555558,0.0007615291851851843,0.00225144743209876,0.001556496407407407,0.0038301819999999984,0.007361784370370368,0.004219422617283951,0.0013049344938271595,0.0025789425432098776,0.0030396376296296297,0.00584307692592592,0.002616095592592597,0.0048621684197530865,0.01234073314814815,0.003376173037037037
1,median6,6.0,0.77815125,2.584962501,0.116173875,0.02908534,0.028659487,0.011656143,0.012342745,-0.020553846,-0.00100842,-0.045862494,-0.029072792000000007,-0.08656387800000001,0.022556871000000003,-0.081661699,-0.136503261,0.016845745,-0.044726047000000005,0.091063081,-0.039785492,-0.088430867,0.084250376,-0.048444254000000006,-0.000440615,-0.01713561,0.0055114253199999965,0.0016834387199999978,0.0032649168399999998,0.0041467063200000005,0.005238966080000001,0.00477762692,0.004988456840000001,0.00749728408,0.0007204460799999996,0.003420880200000005,0.0040665100400000005,0.003844502439999997,0.009324024239999996,0.0032956663799999994,0.0016726057600000004,0.004326619639999997,0.00315695888,0.00560827964,0.006521067439999998,0.0039650380399999996,0.010086880359999998,0.002508351179999999
2,median8,8.0,0.903089987,3.0,0.0845271355,0.03285877399999999,0.035238083,-0.011746053499999999,0.0071343165,-0.028287413,-0.019962485000000002,-0.0062391155,-0.0323763785,-0.06562478,0.0094138985,-0.05719478050000001,-0.0627610175,0.0201127315,-0.039585290999999995,0.071058823,-0.041876288,-0.033429178000000004,0.0514692185,-0.029074196,-0.025372775,-0.0312053765,0.01683379993755739,0.0029752649715335164,0.005211024104683196,0.006667891307621672,0.02649832002754821,0.009252814418732783,0.009243025878787878,0.011426525666666668,0.0021583277419651046,0.013294332121212123,0.009211822626262628,0.01128952860606061,0.0205923611707989,0.007088942402203859,0.0049816806997245175,0.013245758578512401,0.005706958815426998,0.013793592716253442,0.014840530713498626,0.006655985131313131,0.010908356251606978,0.006371008714416897
3,median9,9.0,0.954242509,3.169925001,0.0895107865,0.0321277915,0.026474874000000002,-0.010198967,0.027112917,-0.033704872999999996,-0.013115735,-0.019183864000000002,-0.03484121,-0.065721159,0.0170099075,-0.05979422250000001,-0.062094979499999994,0.0064258100000000005,-0.041487564500000004,0.0720721555,-0.008420414000000001,-0.035419997,0.060358190000000006,-0.035407912,-0.0228450995,-0.0320499195,0.016759421114149815,0.00328726761117717,0.006198263881093935,0.008601754530321047,0.011910497648038051,0.010098523117717004,0.012409024095124855,0.013047098306777642,0.0013773669774078477,0.01271753958145066,0.009667057831153387,0.010882323984542211,0.01887962357312723,0.007023994359096313,0.004807157335315101,0.01281793901545779,0.014637552114149823,0.014466522042806183,0.015593890489892985,0.008368884753864447,0.017795720740784778,0.004024000590963139
4,median12,12.0,1.079181246,3.584962501,5.31e-05,0.038744144,0.041274122,-0.009899481,0.014365943,-0.008592115,-0.021690081,0.029316168,-0.030164984,-0.032768113,-0.040353156,-0.025212534,-0.000584495,0.024811496,-0.027099965,0.023919073,-0.027221079,0.019901256000000003,-0.025350194,-0.007652609,-0.015013182,-0.036764428,0.01500324763558171,0.005220401811226798,0.007380467097102763,0.006943856911724762,0.019939111757356263,0.012334734842462657,0.011349307216840196,0.007534067002263465,0.00153021894907198,0.007559299905613401,0.016314309141693076,0.007556823848121321,0.011634002518334087,0.00799808468945224,0.003314534742417385,0.008202406269578997,0.009335599685378,0.010804826816206424,0.018587995371208695,0.006777233420099593,0.01662321403123585,0.005567722473064734
5,median13,13.0,1.113943352,3.700439718,0.006822391999999999,0.037140679,0.039532677,-0.009515632,0.021130576,-0.018521893,-0.018878976,0.026643817,-0.031502264,-0.033837818,-0.039326282,-0.025711058,-0.002005649,0.021651538,-0.027651709,0.025740763,-0.025129573,0.017349707,-0.02450084,-0.010441104,-0.011257307,-0.037100412,0.01935994349354339,0.0053931078837809905,0.007444705596590904,0.00811861210692149,0.02099091152840909,0.0120117961686467,0.009553250702479333,0.008393666139462809,0.0016117712347623984,0.009306042163223137,0.019620624887396694,0.009032745037706614,0.012810100226239669,0.007966595854080579,0.004327284463584714,0.010534873205578514,0.006763834663739667,0.010854323685950414,0.021948872488636365,0.007067938741219009,0.017155288940599176,0.005712179627066116
6,median16,16.0,1.204119983,4.0,0.003010233,0.033510632,0.021128608,-0.009441294,0.026422316,-0.020054122,-0.020922105,0.012412584,-0.029945071,-0.010351429,-0.028361139,-0.016402866000000002,0.006848829,-0.003473489,-0.018165653,0.015167094,0.002455189,0.012738625,-0.018558436,-0.022830791,-0.012776653,-0.030281368,0.012458093012695307,0.0057752758769531246,0.010130950102050784,0.00709550650390625,0.02543258956054686,0.011449333974609378,0.013481751319824214,0.01189089623242188,0.003010155080566407,0.009775784655761722,0.013266430625488282,0.009166826791503902,0.01015833392773437,0.014227882018066407,0.0058621488632812505,0.009240477828124994,0.01528299482324219,0.00808087995019531,0.014156249357421873,0.010050770641601562,0.016978973519042973,0.0067162445766601525
7,median17,17.0,1.230448921,4.087462841000002,-0.002948758,0.032002437499999994,0.0199934705,-0.016740810000000002,0.0157699665,-0.034126465499999994,-0.0104535065,0.0219050235,-0.0301141605,-0.0016004725,-0.0306897005,-0.0129794355,0.015352192,0.0025791295,-0.014203470499999999,0.011200383500000001,0.0258734875,0.0158547755,-0.0245256145,-0.01946454,-0.025591483999999998,-0.0347247025,0.012369292420927469,0.006274616934601665,0.00578182129845422,0.009986987386444712,0.008148126381688466,0.012468219274673007,0.026898818800237808,0.006814829236623067,0.003343757330558861,0.009340626118906063,0.018927349825208085,0.008977663430439953,0.01037664961474435,0.005446330200951248,0.006654837648038052,0.008059551009512486,0.011613223288941734,0.009899087464922709,0.020551239611177174,0.007242762087990487,0.016114806563614744,0.007666336819262782
8,median19,19.0,1.278753601,4.2479275130000005,-0.012240216000000002,0.032863231,0.022567344,-0.012667324,0.019519085,-0.031204468,-0.014706424,0.025893156,-0.028730202000000007,0.004863039,-0.043711019,-0.006240012,0.018885497,0.007641418,-0.008820451,0.002882933,0.00226408,0.021614361,-0.038222409,-0.010539728,-0.013302633,-0.034081055,0.011746802102678571,0.006449785573979591,0.007930731734056123,0.007916965732780615,0.013053836290816325,0.020668738590561224,0.02798196105612245,0.0074290663252551,0.002976959142857143,0.008957166454081632,0.021336656428571434,0.00837963681760204,0.011661217566964286,0.009384417230867347,0.0077626755982142855,0.007575904997448981,0.018988748885204087,0.0105187117244898,0.022797523760204084,0.009190213204719385,0.013546726261479585,0.008810155378826534
9,median21,21.0,1.322219295,4.392317423,-0.010930308,0.024293381,0.01109535,-0.009663997,0.019105616,-0.029869416,-0.005523421999999999,0.017876499,-0.029390644,0.007282256999999999,-0.034520304,-0.007496725,0.023463495,-0.0057762740000000005,-0.005996881,-0.000937863,0.010822303,0.021138239,-0.032057726,-0.016702986,-0.00060457,-0.029517115,0.010540577351886092,0.006411087578402365,0.012760908583025145,0.0098556519375,0.015792173885170117,0.017578114908653842,0.02939896352662722,0.012694652808616862,0.0036899135207100592,0.010636712907544381,0.01911718930140533,0.010832675904031062,0.013841953502403841,0.015825878712832833,0.008897079533284027,0.008572070051960059,0.0328389674572855,0.013401573990384616,0.02084126797781066,0.013015878710059171,0.017005145995192303,0.00890056748964497
10,median22,22.0,1.342422681,4.459431619,-0.011429040500000001,0.0285255295,0.0311236285,-0.013725024499999999,0.025075095999999998,-0.011804651,-0.0203413585,0.0319293495,-0.026984268,0.010271970500000002,-0.028333289500000004,0.0031738015,0.025514536,0.017585039,-0.0020731689999999997,0.0025668885,-0.0395656685,0.028467572,-0.0250175865,-0.0011694065,-0.023778365000000003,-0.025847845,0.0146604402653486,0.004856285005202914,0.0036474045858480744,0.009319757006243497,0.013380928844953175,0.011696596955254941,0.013623628075962542,0.008087854932362125,0.0032708422830385027,0.01201406683038502,0.01782371005202913,0.009521866393340274,0.01462777490530697,0.0037879399979188354,0.009805532967741934,0.011217292744016656,0.008504853361082206,0.013127459752341314,0.021808490002081165,0.006153514535900104,0.009460033789802293,0.005924954547346516
